remote_branch	sha	merged_in_origin_master	points_at_master	class
origin/master	0599a35	MERGED	True	KEEP-MASTER-REMOTE
origin/phase-editor-a2-5-palette-jump-fix-v1	689a656	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-editor-a2-8-sidebar-hardening-jump-api-v1	689d380	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-editor-field-targeting-fix-v1	c244d98	MERGED	False	FORMER-DEFAULT-CANDIDATE-REMOVE-LATER
origin/phase-integration-baseline-v15	040bc51	MERGED	False	KEEP-V15-REMOTE
origin/phase-x4-continua-pass1-review-lock	fc790f3	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4-continua-passB-multilingual-lf5	9759ac4	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4-continua-public-flip	8b3ccc1	NOT-MERGED	False	REMOTE-UNMERGED
origin/phase-x4-continua-workflowD-release-decision	c319aeb	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4-corporate-suite-case-parent-fix	6eada4f	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4-solaria-passB-multilingual	735a9b5	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4a-corporate-factory-hardening-followup	075e623	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4b-continua-lf5-it-rebuild	26d8537	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4b-corporate-suite-family-backfill	e3229ff	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4b-corporate-suite-layout-divergence	0cad55b	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x4b-corporate-suite-layout-regression-walk	d8253e5	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-a3-imagery-curation	09e12f8	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-a4-copy-authoring	6baaaaa	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-a5-it-build	80800c3	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-a6-it-review-lock	303fcb9	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-postflip-consolidation	9c273d2	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-public-flip	e95422f	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-step2-paper-promotion	17f50b3	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-workflowC-multilingual	4aef041	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-cornice-workflowD-release-decision	ace224a	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x5-post-cornice-reference-hardening	27a2235	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-causa-a3-imagery	0d292e1	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-causa-a4-copy	78af2fe	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-causa-a5-it-build	dcf0f34	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-causa-a6-it-review-lock	34676d1	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-causa-step1-planner-brief	e808b36	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
origin/phase-x6-sixth-sibling-intake	e808b36	MERGED	False	REMOTE-MERGED-CANDIDATE-REMOVE-LATER
