branch	sha	upstream	ahead	behind	in_worktree	merged	class
phase-2g2x-medical-specialist-live-hardening-v2	0a5bcf2	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-agency-live-rollout-v1	9cef9a7	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-ecommerce-live-rollout-v1	f35b4e5	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-editor-a1-flow-fix-v1	aa06d0b	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-editor-a2-5-palette-jump-fix-v1	507cb0b	origin/phase-editor-a2-5-palette-jump-fix-v1	2	0	False	MERGED	INVESTIGATE-LOCAL-AHEAD-OF-UPSTREAM
phase-editor-full-coverage-v1	badb98a	(none)	n/a	n/a	True	NOT-MERGED	WORKTREE-ATTACHED
phase-editor-scroll-media-fix-v1	1f4310b	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-i18n-dermatologia-v2	9043836	(none)	n/a	n/a	True	NOT-MERGED	WORKTREE-ATTACHED
phase-medical-polish-fix-v1	623405b	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
phase-medical-specialist-premium-split-v1	4e26b3f	(none)	n/a	n/a	True	NOT-MERGED	WORKTREE-ATTACHED
phase-x4-continua-build-brief	c45c52a	(none)	n/a	n/a	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x4-continua-public-flip	8b3ccc1	origin/phase-x4-continua-public-flip	0	0	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x4-solaria-passB-multilingual	6997885	origin/phase-x4-solaria-passB-multilingual	1	0	False	MERGED	INVESTIGATE-LOCAL-AHEAD-OF-UPSTREAM
phase-x4-solaria-user-visible-passA	3cdbef6	(none)	n/a	n/a	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x4-wave2-solaria-coaching-v1	6b70d56	(none)	n/a	n/a	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x4a-corporate-factory-hardening-step0	921961f	(none)	n/a	n/a	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x4a-solaria-controlled-reentry-plan	cf54efa	(none)	n/a	n/a	False	NOT-MERGED	INVESTIGATE-UNMERGED
phase-x6-causa-step1-planner-brief	8f9c06c	origin/phase-x6-causa-step1-planner-brief	1	0	False	MERGED	INVESTIGATE-LOCAL-AHEAD-OF-UPSTREAM
phase-x7e-lf2-variance-and-causa-retrofit	ab88d16	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
worktree-preview-realism	6239d33	(none)	n/a	n/a	True	MERGED	WORKTREE-ATTACHED
