path	branch	head	state	merged	decision
marketweb	master	1b8019f4702452e4231d093dcab8776aa411de96	MAIN	n/a	KEEP
marketweb/.claude/worktrees/archetype-reuse-validation	worktree-archetype-reuse-validation	bbcca51	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/backend-core	worktree-backend-core	a552bda	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/catalog-enhancements	worktree-catalog-enhancements	6239d33	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/catalog-integration	worktree-catalog-integration	0b87713	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/medical-pilot-fix	worktree-medical-pilot-fix	4fa8727	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/premium-ui	worktree-premium-ui	9a3945c	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/preview-realism	worktree-preview-realism	6239d33	DIRTY	MERGED	INVESTIGATE-DIRTY
marketweb/.claude/worktrees/real-preview-assets	worktree-real-preview-assets	79c5368	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/restaurant-template-pilot	worktree-restaurant-template-pilot	8b3206a	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/specialist-copy-abstraction	worktree-specialist-copy-abstraction	bcbd137	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/template-completeness-pilot	worktree-template-completeness-pilot	a8fd84f	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/template-dna-system	worktree-template-dna-system	949e43a	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/template-polish-fixes	worktree-template-polish-fixes	4418869	CLEAN	MERGED	REMOVE
marketweb/.claude/worktrees/visual-polish-and-preview-fixes	worktree-visual-polish-and-preview-fixes	22d1096	CLEAN	MERGED	REMOVE
mw-agency-live-rollout-v1	phase-agency-live-rollout-v1	9cef9a7	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-agency-preview-pipeline-fix-v1	phase-agency-preview-pipeline-fix-v1	efbdce1	CLEAN	MERGED	REMOVE
mw-audit-differentiation	phase-2g2x-audit-differentiation	1afb26f	CLEAN	MERGED	REMOVE
mw-business-hardening	phase-2g2x-business-hardening	1afb26f	CLEAN	MERGED	REMOVE
mw-business-hardening-v2	phase-2g2x-business-hardening-v2	b967e99	CLEAN	MERGED	REMOVE
mw-business-i18n-completion-v1	phase-business-i18n-completion-v1	afb5b15	CLEAN	MERGED	REMOVE
mw-business-live-rollout-v1	phase-business-live-rollout-v1	019ebd8	CLEAN	MERGED	REMOVE
mw-catalog-expansion-strategy-v1	phase-catalog-expansion-strategy-v1	4381588	CLEAN	MERGED	REMOVE
mw-catalog-stabilization-v1	phase-catalog-stabilization-v1	d992516	CLEAN	MERGED	REMOVE
mw-commerce-completion-v2	phase-commerce-completion-v2	26ef563	CLEAN	MERGED	REMOVE
mw-ecommerce-commerce-foundation-v1	phase-ecommerce-commerce-foundation-v1	3e42a34	CLEAN	MERGED	REMOVE
mw-ecommerce-experience-hardening-v1	phase-ecommerce-experience-hardening-v1	e660a9f	CLEAN	MERGED	REMOVE
mw-ecommerce-live-rollout-v1	phase-ecommerce-live-rollout-v1	f35b4e5	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-editor-a1-flow-fix-v1	phase-editor-a1-flow-fix-v1	aa06d0b	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-editor-field-targeting-fix-v1	phase-editor-a2-5-palette-jump-fix-v1	507cb0b	CLEAN	MERGED	REMOVE
mw-editor-foundation-v1	phase-editor-foundation-v1	aa06d0b	CLEAN	MERGED	REMOVE
mw-editor-full-coverage-v1	phase-editor-full-coverage-v1	badb98a	CLEAN	NOT-MERGED	INVESTIGATE-UNMERGED
mw-editor-public-customize-v1	phase-editor-public-customize-v1	5f3cef8	CLEAN	MERGED	REMOVE
mw-editor-scroll-media-fix-v1	phase-editor-scroll-media-fix-v1	1f4310b	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-editor-ux-live-preview-v1	phase-editor-ux-live-preview-v1	1f4310b	CLEAN	MERGED	REMOVE
mw-gusto-i18n-rtl-v1	phase-gusto-i18n-rtl-v1	5a73e4d	CLEAN	MERGED	REMOVE
mw-i18n-dermatologia-v2	phase-i18n-dermatologia-v2	9043836	CLEAN	NOT-MERGED	INVESTIGATE-UNMERGED
mw-i18n-pilot-cardio-v2	phase-i18n-pilot-cardio-v2	bcd5306	CLEAN	MERGED	REMOVE
mw-integration-baseline-v1	phase-integration-baseline-v1	f4d58c4	CLEAN	MERGED	REMOVE
mw-integration-baseline-v10	phase-integration-baseline-v10	b7338e5	CLEAN	MERGED	REMOVE
mw-integration-baseline-v11	phase-integration-baseline-v11	4d1c78d	CLEAN	MERGED	REMOVE
mw-integration-baseline-v12	phase-integration-baseline-v12	afb54b5	CLEAN	MERGED	REMOVE
mw-integration-baseline-v13	phase-integration-baseline-v13	5ac088b	CLEAN	MERGED	REMOVE
mw-integration-baseline-v14	phase-integration-baseline-v14	79724db	CLEAN	MERGED	REMOVE
mw-integration-baseline-v15	phase-x7e-lf2-variance-and-causa-retrofit	ab88d16	CLEAN	MERGED	KEEP-V15-VENV
mw-integration-baseline-v2	phase-integration-baseline-v2	1d17d5a	CLEAN	MERGED	REMOVE
mw-integration-baseline-v3	phase-integration-baseline-v3	7770e0f	CLEAN	MERGED	REMOVE
mw-integration-baseline-v4	phase-integration-baseline-v4	53993f1	CLEAN	MERGED	REMOVE
mw-integration-baseline-v5	phase-integration-baseline-v5	9df1b50	CLEAN	MERGED	REMOVE
mw-integration-baseline-v6	phase-integration-baseline-v6	041ab4a	CLEAN	MERGED	REMOVE
mw-integration-baseline-v7	phase-integration-baseline-v7	a9942db	CLEAN	MERGED	REMOVE
mw-integration-baseline-v8	phase-integration-baseline-v8	30bbd3b	CLEAN	MERGED	REMOVE
mw-integration-baseline-v9	phase-integration-baseline-v9	a86372b	CLEAN	MERGED	REMOVE
mw-law-realestate-live-rollout-v1	phase-law-realestate-live-rollout-v1	2fde0c8	CLEAN	MERGED	REMOVE
mw-live-i18n-media-hardening-v1	phase-live-i18n-media-hardening-v1	fd3c385	CLEAN	MERGED	REMOVE
mw-live-motion-media-pass-v1	phase-live-motion-media-pass-v1	eae4099	CLEAN	MERGED	REMOVE
mw-live-preview-policy	phase-2g2x-live-preview-policy	79c8793	CLEAN	MERGED	REMOVE
mw-live-preview-policy-v2	phase-2g2x-live-preview-policy-v2	ac38556	CLEAN	MERGED	REMOVE
mw-luxe-commerce-polish-v1	phase-luxe-commerce-polish-v1	1b38059	CLEAN	MERGED	REMOVE
mw-medical-polish-fix-v1	phase-medical-polish-fix-v1	623405b	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-medical-second-wave-v1	phase-medical-second-wave-v1	728a044	CLEAN	MERGED	REMOVE
mw-medical-specialist-live-hardening-v2	phase-2g2x-medical-specialist-live-hardening-v2	0a5bcf2	DIRTY	MERGED	INVESTIGATE-DIRTY
mw-medical-specialist-premium-split-v1	phase-medical-specialist-premium-split-v1	4e26b3f	CLEAN	NOT-MERGED	INVESTIGATE-UNMERGED
mw-motion-optin-medical-v1	phase-motion-optin-medical-v1	9736da4	CLEAN	MERGED	REMOVE
mw-motion-pilot-gusto-v2	phase-motion-pilot-gusto-v2	58f43f4	CLEAN	MERGED	REMOVE
mw-pixel-perfection-pass-v1	phase-pixel-perfection-pass-v1	9b5dd57	CLEAN	MERGED	REMOVE
mw-pixel-preview-coherence-fix-v1	phase-pixel-preview-coherence-fix-v1	9cedc59	CLEAN	MERGED	REMOVE
mw-portfolio-hardening	phase-2g2x-portfolio-hardening	b967e99	CLEAN	MERGED	REMOVE
mw-portfolio-hardening-v2	phase-2g2x-portfolio-hardening-v2	79c8793	CLEAN	MERGED	REMOVE
mw-portfolio-live-rollout-v1	phase-portfolio-live-rollout-v1	314a116	CLEAN	MERGED	REMOVE
mw-pragma-hero-visibility-fix-v1	phase-pragma-hero-visibility-fix-v1	a067fbc	CLEAN	MERGED	REMOVE
mw-premium-components-blueprint-v1	phase-premium-components-blueprint-v1	fec11f5	CLEAN	MERGED	REMOVE
mw-premium-forms-polish-v1	phase-premium-forms-polish-v1	38aca8b	CLEAN	MERGED	REMOVE
mw-public-live-polish-v1	phase-public-live-polish-v1	4224ce0	CLEAN	MERGED	REMOVE
mw-restaurant-live-completion-v1	phase-restaurant-live-completion-v1	f760629	CLEAN	MERGED	REMOVE
mw-restaurant-polish-fix-v1	phase-restaurant-polish-fix-v1	36fde5a	CLEAN	MERGED	REMOVE
mw-tier-migration-v2	phase-2g2x-tier-migration-v2	0a5bcf2	CLEAN	MERGED	REMOVE
mw-ultra-premium-live-v1	phase-ultra-premium-live-v1	de39f1c	CLEAN	MERGED	REMOVE
